symbol,side,spread_bps,bid_depth_usd,ask_depth_usd
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04354386064119872,7296.075810000001,88736.00906000001
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,sell,0.04389420618521283,222504.9594,147295.38934
ethusdt,buy,0.04389420618521283,222504.9594,147295.38934
